Scenario,BotName,PlayerHealth,Win,TotalRequests,InvalidResponses,TotalTokens,AvgResponseTime,InvalidRate
Suffer,RCoT-gpt41,53,True,9,0,2655,2.3638348049587674,0.0
Suffer,RCoT-gpt41,53,True,11,0,3343,2.291187979958274,0.0
Suffer,RCoT-gpt41,36,True,13,0,3897,2.430658505513118,0.0
Suffer,None-gpt41,36,True,14,0,7169,0.5450559003012521,0.0
Suffer,None-gpt41,24,True,22,0,9640,0.4859456474130804,0.0
Suffer,None-gpt41,58,True,7,0,4938,0.5144993918282645,0.0
Suffer,None-gpt41,41,True,13,0,6202,0.5952302859379694,0.0
Suffer,None-gpt41,58,True,7,0,4938,0.4771961825234549,0.0
Suffer,None-gpt41,36,True,14,0,7130,0.5423109190804618,0.0
Suffer,None-gpt41,36,True,12,0,6523,0.5638944506645203,0.0
Suffer,None-gpt41,58,True,7,0,4938,0.5121827806745257,0.0
Suffer,None-gpt41,53,True,10,0,5876,0.5217058420181274,0.0
Suffer,None-gpt41,41,True,19,0,8695,0.5463910353811163,0.0
Suffer,None-gpt41,53,True,11,0,6185,0.5251187411221591,0.0
Suffer,None-gpt41,53,True,11,0,6185,0.5756873867728494,0.0
Suffer,None-gpt41,41,True,13,0,6802,0.6139480700859656,0.0
Suffer,None-gpt41,41,True,14,0,7130,0.44650721549987793,0.0
Suffer,None-gpt41,58,True,7,0,4938,0.6326631137302944,0.0
Suffer,None-gpt41,41,True,19,0,8695,0.5474838708576403,0.0
Suffer,None-gpt41,29,True,21,0,8682,0.552152815319243,0.0
Suffer,None-gpt41,46,True,14,0,7130,0.4886695998055594,0.0
Suffer,None-gpt41,53,True,11,0,6185,0.5239102623679421,0.0
Suffer,None-gpt41,24,True,21,0,9312,0.6661606970287505,0.0
Suffer,None-gpt41,41,True,19,0,8695,0.6008836219185277,0.0
Suffer,None-gpt41,36,True,13,0,6802,0.561028792307927,0.0
Suffer,None-gpt41,53,True,11,0,6185,0.4685529362071644,0.0
Suffer,None-gpt41,24,True,20,0,9033,0.5184493899345398,0.0
Suffer,None-gpt41,19,True,20,0,9064,0.6693180680274964,0.0
Suffer,MCTSAgent,36,True,0,0,0,0.0,0.0
Suffer,MCTSAgent,14,True,0,0,0,0.0,0.0
Suffer,MCTSAgent,14,True,0,0,0,0.0,0.0
Suffer,MCTSAgent,14,True,0,0,0,0.0,0.0
Suffer,MCTSAgent,36,True,0,0,0,0.0,0.0
Suffer,MCTSAgent,36,True,0,0,0,0.0,0.0
Suffer,MCTSAgent,4,True,0,0,0,0.0,0.0
Suffer,MCTSAgent,46,True,0,0,0,0.0,0.0
Suffer,MCTSAgent,36,True,0,0,0,0.0,0.0
Suffer,MCTSAgent,36,True,0,0,0,0.0,0.0
Suffer,MCTSAgent,41,True,0,0,0,0.0,0.0
Suffer,MCTSAgent,14,True,0,0,0,0.0,0.0
Suffer,MCTSAgent,36,True,0,0,0,0.0,0.0
Suffer,MCTSAgent,24,True,0,0,0,0.0,0.0
Suffer,MCTSAgent,53,True,0,0,0,0.0,0.0
Suffer,MCTSAgent,41,True,0,0,0,0.0,0.0
Suffer,MCTSAgent,53,True,0,0,0,0.0,0.0
Suffer,MCTSAgent,31,True,0,0,0,0.0,0.0
Suffer,MCTSAgent,48,True,0,0,0,0.0,0.0
Suffer,MCTSAgent,19,True,0,0,0,0.0,0.0
Suffer,MCTSAgent,31,True,0,0,0,0.0,0.0
Suffer,MCTSAgent,41,True,0,0,0,0.0,0.0
Suffer,MCTSAgent,41,True,0,0,0,0.0,0.0
Suffer,MCTSAgent,4,True,0,0,0,0.0,0.0
Suffer,MCTSAgent,41,True,0,0,0,0.0,0.0
Suffer,Backtrack-Depth3,58,True,0,0,0,0.0,0.0
Suffer,Backtrack-Depth3,53,True,0,0,0,0.0,0.0
Suffer,Backtrack-Depth3,48,True,0,0,0,0.0,0.0
Suffer,Backtrack-Depth3,58,True,0,0,0,0.0,0.0
Suffer,Backtrack-Depth3,53,True,0,0,0,0.0,0.0
Suffer,Backtrack-Depth3,58,True,0,0,0,0.0,0.0
Suffer,Backtrack-Depth3,58,True,0,0,0,0.0,0.0
Suffer,Backtrack-Depth3,53,True,0,0,0,0.0,0.0
Suffer,Backtrack-Depth3,46,True,0,0,0,0.0,0.0
Suffer,Backtrack-Depth3,58,True,0,0,0,0.0,0.0
Suffer,Backtrack-Depth3,53,True,0,0,0,0.0,0.0
Suffer,Backtrack-Depth3,58,True,0,0,0,0.0,0.0
Suffer,Backtrack-Depth3,58,True,0,0,0,0.0,0.0
Suffer,Backtrack-Depth3,53,True,0,0,0,0.0,0.0
Suffer,Backtrack-Depth3,48,True,0,0,0,0.0,0.0
Suffer,Backtrack-Depth3,58,True,0,0,0,0.0,0.0
Suffer,Backtrack-Depth3,26,True,0,0,0,0.0,0.0
Suffer,Backtrack-Depth3,58,True,0,0,0,0.0,0.0
Suffer,Backtrack-Depth3,41,True,0,0,0,0.0,0.0
Suffer,Backtrack-Depth3,58,True,0,0,0,0.0,0.0
Suffer,Backtrack-Depth3,58,True,0,0,0,0.0,0.0
Suffer,Backtrack-Depth3,46,True,0,0,0,0.0,0.0
Suffer,Backtrack-Depth3,46,True,0,0,0,0.0,0.0
Suffer,Backtrack-Depth3,58,True,0,0,0,0.0,0.0
Suffer,Backtrack-Depth3,58,True,0,0,0,0.0,0.0
Suffer,RandomBot,0,False,0,0,0,0.0,0.0
Suffer,RandomBot,4,True,0,0,0,0.0,0.0
Suffer,RandomBot,36,True,0,0,0,0.0,0.0
Suffer,RandomBot,36,True,0,0,0,0.0,0.0
Suffer,RandomBot,0,False,0,0,0,0.0,0.0
Suffer,RandomBot,14,True,0,0,0,0.0,0.0
Suffer,RandomBot,19,True,0,0,0,0.0,0.0
Suffer,RandomBot,0,False,0,0,0,0.0,0.0
Suffer,RandomBot,36,True,0,0,0,0.0,0.0
Suffer,RandomBot,0,False,0,0,0,0.0,0.0
Suffer,RandomBot,0,False,0,0,0,0.0,0.0
Suffer,RandomBot,0,False,0,0,0,0.0,0.0
Suffer,RandomBot,41,True,0,0,0,0.0,0.0
Suffer,RandomBot,24,True,0,0,0,0.0,0.0
Suffer,RandomBot,0,False,0,0,0,0.0,0.0
Suffer,RandomBot,2,True,0,0,0,0.0,0.0
Suffer,RandomBot,0,False,0,0,0,0.0,0.0
Suffer,RandomBot,14,True,0,0,0,0.0,0.0
Suffer,RandomBot,0,False,0,0,0,0.0,0.0
Suffer,RandomBot,2,True,0,0,0,0.0,0.0
Suffer,RandomBot,36,True,0,0,0,0.0,0.0
Suffer,RandomBot,2,True,0,0,0,0.0,0.0
Suffer,RandomBot,0,False,0,0,0,0.0,0.0
Suffer,RandomBot,46,True,0,0,0,0.0,0.0
Suffer,RandomBot,41,True,0,0,0,0.0,0.0
Tolerate,RCoT-gpt41,49,True,58,0,16477,2.9902277157224457,0.0
Tolerate,RCoT-gpt41,49,True,58,0,16453,2.9517028496183197,0.0
Tolerate,RCoT-gpt41,47,True,57,0,16204,2.7507468315592982,0.0
Tolerate,RCoT-gpt41,57,True,58,0,16065,2.5805457830429077,0.0
Tolerate,RCoT-gpt41,49,True,59,0,16662,2.4907549074140647,0.0
Tolerate,RCoT-gpt41,49,True,59,0,16459,2.555453037811538,0.0
Tolerate,RCoT-gpt41,52,True,59,0,16417,2.4039022801286083,0.0
Tolerate,RCoT-gpt41,49,True,59,0,16708,2.5701540163007834,0.0
Tolerate,RCoT-gpt41,52,True,59,0,16645,2.983924837435706,0.0
Tolerate,RCoT-gpt41,52,True,59,0,16380,2.9100588337849764,0.0
Tolerate,RCoT-gpt41,54,True,59,0,16609,2.8921552835884743,0.0
Tolerate,RCoT-gpt41,49,True,58,0,16260,3.1059394910417755,0.0
Tolerate,RCoT-gpt41,49,True,58,0,16459,2.596137860725666,0.0
Tolerate,RCoT-gpt41,49,True,59,0,16468,2.4255063008453885,0.0
Tolerate,RCoT-gpt41,47,True,57,0,16004,2.770848537746229,0.0
Tolerate,RCoT-gpt41,52,True,59,0,16340,2.6430796687885865,0.0
Tolerate,RCoT-gpt41,52,True,59,0,16341,2.842836311308004,0.0
Tolerate,RCoT-gpt41,50,True,56,0,16248,3.018836809056146,0.0
Tolerate,RCoT-gpt41,49,True,59,0,16632,2.76036190582534,0.0
Tolerate,RCoT-gpt41,52,True,59,0,16274,2.4307347233012573,0.0
Tolerate,RCoT-gpt41,49,True,58,0,16212,2.610169731337449,0.0
Tolerate,RCoT-gpt41,49,True,58,0,16268,2.5780781548598717,0.0
Tolerate,RCoT-gpt41,57,True,59,0,16671,2.8821991944717147,0.0
